energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh
-2.9007808095231558,-100.0109748401845,-5.8015616190463115,-8.00087798721476,1273.389293030358,8.00087798721476,-1.428551437713106,4.556
-2.900790376358227,-100.02973833836748,-5.801580752716454,-8.002379067069398,1273.3934926945685,8.002379067069398,-1.4286952515152993,4.556
-2.9007998334675396,-100.04687904192431,-5.801599666935079,-8.003750323353945,1273.3976441911939,8.003750323353945,-1.4288281374623073,4.556
-2.900809079985258,-100.06254072604324,-5.801618159970516,-8.005003258083459,1273.4017032419922,8.005003258083459,-1.4289508302715774,4.556
-2.9008180437768134,-100.07685503085956,-5.801636087553627,-8.006148402468765,1273.4056381812175,8.006148402468765,-1.4290640517909043,4.556
-2.9008266699160914,-100.08993930962563,-5.801653339832183,-8.007195144770051,1273.4094248973186,8.007195144770051,-1.429168449012102,4.556
-2.900834922617465,-100.1019024167843,-5.80166984523493,-8.008152193342744,1273.4130476810644,8.008152193342744,-1.429264673435874,4.556
-2.90084277779493,-100.11284151704616,-5.80168555558986,-8.009027321363693,1273.4164959591442,8.009027321363693,-1.429353307205589,4.556
-2.900850222937354,-100.12284648336399,-5.801700445874708,-8.009827718669118,1273.4197642394004,8.009827718669118,-1.4294349235850021,4.556
-2.9008572532533443,-100.13199766221123,-5.801714506506689,-8.010559812976899,1273.4228504185005,8.010559812976899,-1.429510034256305,4.556
-2.9008638705648986,-100.1403693080741,-5.801727741129797,-8.011229544645929,1273.425755296268,8.011229544645929,-1.4295791369316317,4.556
-2.900870081797189,-100.14802910536476,-5.801740163594378,-8.01184232842918,1273.4284819127256,8.01184232842918,-1.4296426965227527,4.556
-2.9008758976261273,-100.15503762162456,-5.801751795252255,-8.012403009729965,1273.4310349544019,8.012403009729965,-1.4297011264566548,4.556
-2.9008813314987654,-100.1614511647456,-5.801762662997531,-8.012916093179648,1273.4334203243043,8.012916093179648,-1.4297548302694052,4.556
-2.9008863987778852,-100.1673207355491,-5.8017727975557705,-8.013385658843928,1273.4356447664115,8.013385658843928,-1.429804176359695,4.556
-2.9008911162962803,-100.17269324335525,-5.8017822325925605,-8.01381545946842,1273.4377156700089,8.01381545946842,-1.4298495129117113,4.556
-2.9008955023685266,-100.17761036978168,-5.801791004737053,-8.014208829582534,1273.4396410748582,8.014208829582534,-1.4298911427142942,4.556
-2.9008995724053883,-100.18211201227281,-5.801799144810777,-8.014568960981824,1273.4414277460003,8.014568960981824,-1.4299293781628055,4.556
-2.9009033471049395,-100.18623276442891,-5.801806694209879,-8.014898621154313,1273.4430847695082,8.014898621154313,-1.4299644758925847,4.556
-2.90090684288263,-100.19000529611183,-5.80181368576526,-8.015200423688947,1273.4446193514616,8.015200423688947,-1.4299966917264948,4.556
-2.90091007733302,-100.19345907484309,-5.80182015466604,-8.015476725987448,1273.4460392155486,8.015476725987448,-1.430026255146872,4.556
-2.900913068047667,-100.1966217813708,-5.801826136095334,-8.015729742509663,1273.4473520841382,8.015729742509663,-1.430053390924838,4.556
-2.900915829774294,-100.19951722211707,-5.801831659548588,-8.015961377769365,1273.448564431209,8.015961377769365,-1.4300782802452987,4.556
-2.9009183797605806,-100.20216861189397,-5.801836759521161,-8.016173488951518,1273.449683828174,8.016173488951518,-1.4301011153652057,4.556
-2.9009207312032994,-100.20459643962818,-5.801841462406599,-8.016367715170254,1273.4507160681735,8.016367715170254,-1.4301220604706606,4.556
-2.9009228996097236,-100.20681980470825,-5.801845799219447,-8.01654558437666,1273.4516679586143,8.01654558437666,-1.430141273016158,4.556
-2.9009248969228,-100.20885579077041,-5.8018497938456,-8.016708463261633,1273.45254474223,8.016708463261633,-1.4301588911837129,4.556
-2.9009267372388736,-100.21072038883563,-5.801853474477747,-8.01685763110685,1273.4533526070559,8.01685763110685,-1.4301750484140705,4.556
-2.9009284310777956,-100.21242823000829,-5.801856862155591,-8.016994258400663,1273.4540961711132,8.016994258400663,-1.430189867421998,4.556
-2.900929988803387,-100.21399192797216,-5.801859977606774,-8.017119354237773,1273.4547799839274,8.017119354237773,-1.4302034475788392,4.556
-2.900931422624332,-100.21542412367062,-5.801862845248664,-8.01723392989365,1273.4554094048867,8.01723392989365,-1.4302158993240524,4.556
-2.9009327407850534,-100.2167360330875,-5.801865481570107,-8.017338882647,1273.4559880531401,8.017338882647,-1.4302273179754346,4.556
-2.9009339517833683,-100.21793714788829,-5.801867903566737,-8.017434971831063,1273.4565196590731,8.017434971831063,-1.4302377776536683,4.556
-2.900935065428624,-100.21903763912137,-5.801870130857248,-8.01752301112971,1273.4570085288078,8.01752301112971,-1.4302473722133522,4.556
