energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
-3.588043997316437,-118.14700225421694,-7.176087994632874,-9.451760180337356,1575.0851612451436,9.451760180337356,-1.8356418132086487,4.556,False
-3.304978245391925,-116.70236510739275,-6.60995649078385,-9.33618920859142,1450.824515097421,9.33618920859142,-1.8256721969192107,4.556,False
-3.57054054364903,-114.67092049003833,-7.14108108729806,-9.173673639203066,1567.4014678002766,9.173673639203066,-1.8106868968172325,4.556,False
-3.3101318467013834,-113.2446585856103,-6.620263693402767,-9.059572686848824,1453.086851054163,9.059572686848824,-1.8006954416076306,4.556,False
-3.560901288617066,-111.51233768974225,-7.121802577234132,-8.92098701517938,1563.1700125623645,8.92098701517938,-1.7866903838653616,4.556,False
-3.1021180172432765,-110.82838797495805,-6.204236034486553,-8.866271037996643,1361.7726151199633,8.866271037996643,-1.7823551494155632,4.556,False
-3.226739464463051,-110.32828764336465,-6.453478928926102,-8.826263011469171,1416.4791327757027,8.826263011469171,-1.7715764379398349,4.556,False
-3.557127494412556,-109.2436372943997,-7.114254988825112,-8.739490983551976,1561.51338648488,8.739490983551976,-1.753520258385742,4.556,False
-3.5896666804915074,-109.19642508901308,-7.179333360983015,-8.735714007121047,1575.7974892412237,8.735714007121047,-1.7580004863654384,4.556,False
-3.2188511046079555,-109.79911091783575,-6.437702209215911,-8.78392887342686,1413.0162882387865,8.78392887342686,-1.7691360950385775,4.556,False
-3.4747699344991365,-110.1764713299732,-6.949539868998273,-8.814117706397855,1525.3599361278036,8.814117706397855,-1.7741041873502976,4.556,False
-3.6074740434921604,-111.12016333009791,-7.214948086984321,-8.889613066407833,1583.6145932801408,8.889613066407833,-1.7847577328120894,4.556,False
-3.3437132382163113,-111.98051882790064,-6.687426476432623,-8.95844150623205,1467.828462781524,8.95844150623205,-1.7939899381362698,4.556,False
-3.226124240642733,-110.74284088315991,-6.452248481285466,-8.859427270652793,1416.2090608616036,8.859427270652793,-1.7830449161072057,4.556,False
-3.157955840647519,-108.13848043954697,-6.315911681295038,-8.651078435163758,1386.2843900998766,8.651078435163758,-1.75626889125171,4.556,False
-3.108415876647054,-103.1935422304382,-6.216831753294108,-8.255483378435056,1364.5372592831668,8.255483378435056,-1.700543571840017,4.556,False
-3.6123188886085305,-102.67510390168883,-7.224637777217061,-8.214008312135107,1585.7413909607246,8.214008312135107,-1.687129765795871,4.556,False
-3.5812897739288774,-102.87446208882712,-7.162579547857755,-8.229956967106169,1572.1201817071455,8.229956967106169,-1.6984524831365377,4.556,False
-3.608509996421175,-103.84774463566953,-7.21701999284235,-8.307819570853562,1584.0693575158803,8.307819570853562,-1.7247472404288537,4.556,False
