month,day_of_month,hour,lozaradiante_zonanorth_heating_rate,lozaradiante_zonasouth_heating_rate,lozaradiante_zonaeast_heating_rate,lozaradiante_zonawest_heating_rate,outdoor_temperature,outdoor_humidity,north_perimeter_air_temperature,south_perimeter_air_temperature,east_perimeter_air_temperature,west_perimeter_air_temperature,north_perimeter_air_humidity,south_perimeter_air_humidity,east_perimeter_air_humidity,west_perimeter_air_humidity,heat_pump_power,total_electricity_HVAC
4.0,9.0,19.0,6490.39453125,0.0,4410.68310546875,7241.85693359375,20.0,94.0,23.925596237182617,20.63609504699707,23.370744705200195,23.303979873657227,100.0,83.1556625366211,73.81273651123047,74.11863708496094,1490.7462158203125,5364293.5
4.0,9.0,20.0,7185.69970703125,0.0,4968.27099609375,5986.58056640625,19.399999618530273,98.0,23.693105697631836,20.346641540527344,23.51218032836914,22.85822868347168,100.0,84.83885192871094,73.37288665771484,76.339111328125,1453.222900390625,5233882.0
4.0,9.0,21.0,7474.3759765625,0.0,5063.84716796875,5639.97705078125,19.0,94.0,23.549428939819336,20.120647430419922,23.604982376098633,23.00665283203125,100.0,86.03936767578125,72.82112884521484,75.5083236694336,1435.50830078125,5169070.5
4.0,9.0,22.0,7639.7216796875,0.0,5086.67578125,5446.521484375,18.0,94.0,23.352590560913086,19.924091339111328,23.63933563232422,23.197355270385742,100.0,87.0133056640625,72.2640609741211,74.22489929199219,1426.547119140625,5136451.5
4.0,9.0,23.0,7801.439453125,0.0,5135.1279296875,5371.93505859375,17.799999237060547,98.0,23.322311401367188,19.770355224609375,23.68281364440918,23.351909637451172,100.0,87.77571105957031,71.71525573730469,73.1679458618164,1429.1644287109375,5145712.0
4.0,10.0,0.0,7943.9638671875,0.0,5184.14794921875,5344.49609375,18.0,94.0,23.31780242919922,19.6751766204834,23.71870994567871,23.444398880004883,100.0,88.17220306396484,71.1502914428711,72.34358978271484,1428.1688232421875,5141407.5
4.0,10.0,1.0,1440.604248046875,0.0,0.0,0.0,17.0,100.0,23.258880615234375,19.56441879272461,23.68170928955078,23.465280532836914,100.0,88.64118957519531,70.85637664794922,71.79370880126953,0.0,0.0
4.0,10.0,2.0,0.0,0.0,0.0,0.0,16.799999237060547,98.0,23.047447204589844,19.458019256591797,23.399198532104492,23.228134155273438,100.0,89.04783630371094,71.58104705810547,72.33120727539062,0.0,0.0
4.0,10.0,3.0,0.0,0.0,0.0,0.0,17.0,100.0,22.72636604309082,19.36501121520996,22.91657257080078,22.778303146362305,100.0,89.43055725097656,73.31391906738281,73.93755340576172,0.0,0.0
4.0,10.0,4.0,0.0,0.0,0.0,0.0,17.0,94.0,22.386232376098633,19.279478073120117,22.358449935913086,22.24429702758789,100.0,89.66771697998047,75.26974487304688,75.80107879638672,0.0,0.0
4.0,10.0,5.0,0.0,0.0,0.0,0.0,16.799999237060547,96.0,22.039682388305664,19.186973571777344,21.901880264282227,21.806068420410156,100.0,89.91451263427734,76.78064727783203,77.23766326904297,0.0,0.0
4.0,10.0,6.0,0.0,0.0,8446.400390625,8527.48046875,17.0,94.0,21.70406150817871,19.096628189086914,21.4094295501709,21.336278915405273,100.0,90.15047454833984,78.53089904785156,78.89008331298828,1459.0537109375,5259848.0
4.0,10.0,7.0,8882.818359375,0.0,4814.66748046875,4846.1474609375,17.0,94.0,21.501264572143555,19.069900512695312,21.583934783935547,21.504444122314453,100.0,90.05570220947266,77.1913833618164,77.57379150390625,1528.17822265625,5501442.0
4.0,10.0,8.0,0.0,0.0,9165.478515625,9239.1328125,19.700000762939453,95.0,22.059839248657227,19.478134155273438,24.181997299194336,22.49326515197754,100.0,87.98552703857422,66.27427673339844,73.391357421875,1406.9822998046875,5083276.0
4.0,10.0,9.0,7059.49267578125,0.0,0.0,0.0,22.0,88.0,24.22251319885254,19.954391479492188,26.031835556030273,23.049211502075195,92.80065155029297,85.86576080322266,60.054744720458984,71.78120422363281,651.56884765625,2176008.25
4.0,10.0,10.0,0.0,0.0,0.0,0.0,24.0,74.0,25.149837493896484,20.439605712890625,27.12936782836914,23.44390106201172,91.37659454345703,83.55149841308594,56.5982780456543,70.46245574951172,0.0,0.0
4.0,10.0,11.0,0.0,0.0,0.0,0.0,25.200000762939453,67.0,26.303586959838867,20.89710235595703,27.00423812866211,23.555130004882812,88.46581268310547,81.44105529785156,57.27790069580078,70.311279296875,0.0,0.0
4.0,10.0,12.0,0.0,0.0,0.0,0.0,24.0,69.0,27.108917236328125,21.32747459411621,26.38710594177246,23.77048110961914,87.3739242553711,79.33927154541016,59.340755462646484,69.34230041503906,0.0,0.0
4.0,10.0,13.0,0.0,0.0,0.0,0.0,19.0,94.0,26.734922409057617,21.414382934570312,25.419071197509766,23.679428100585938,91.03157043457031,79.07855987548828,62.981605529785156,69.88038635253906,0.0,0.0
4.0,10.0,14.0,0.0,0.0,0.0,0.0,16.100000381469727,94.0,25.101524353027344,21.007511138916016,24.245662689208984,22.948339462280273,99.95660400390625,79.3957290649414,64.4228515625,69.6666030883789,0.0,0.0
4.0,10.0,15.0,0.0,0.0,0.0,0.0,16.0,82.0,24.193580627441406,20.63982582092285,23.297351837158203,22.326095581054688,99.37895202636719,79.49729919433594,65.07478332519531,69.03541564941406,0.0,0.0
4.0,10.0,16.0,0.0,0.0,0.0,8492.0673828125,16.0,82.0,23.248838424682617,20.33770751953125,22.544960021972656,21.690065383911133,100.0,80.12646484375,66.57127380371094,70.14815521240234,748.2229614257812,2763492.5
4.0,10.0,17.0,0.0,0.0,10388.837890625,8120.71533203125,15.0,93.0,22.476781845092773,19.861833572387695,21.45808219909668,21.470754623413086,100.0,81.05021667480469,68.9733657836914,68.93531036376953,1455.3651123046875,5253496.0
4.0,10.0,18.0,9184.3798828125,0.0,4728.33984375,4363.9775390625,15.0,94.0,21.511695861816406,19.486848831176758,21.839458465576172,22.12894058227539,100.0,81.9158935546875,66.19561767578125,65.04788208007812,1504.1448974609375,5410681.5
4.0,10.0,19.0,8499.1494140625,0.0,5072.34765625,4845.96923828125,16.0,72.0,21.505598068237305,19.288837432861328,22.05788230895996,22.307886123657227,100.0,81.23542785644531,62.778297424316406,61.83686447143555,1490.3050537109375,5366520.5
4.0,10.0,20.0,8333.580078125,0.0,5116.40185546875,4975.263671875,16.0,71.0,21.577829360961914,19.15959930419922,22.297420501708984,22.486377716064453,100.0,79.6905517578125,59.01371383666992,58.34333801269531,1477.55859375,5320483.0
4.0,10.0,21.0,0.0,0.0,9157.525390625,9035.720703125,16.0,72.0,21.657760620117188,19.065690994262695,22.460142135620117,22.61507225036621,100.0,78.4322509765625,56.465476989746094,55.9384765625,1377.4459228515625,4958805.5
4.0,10.0,22.0,9765.2978515625,0.0,4347.63134765625,4290.88232421875,16.0,68.0,21.642654418945312,18.979677200317383,22.922897338867188,23.029081344604492,100.0,77.21022033691406,53.116981506347656,52.777217864990234,1444.707763671875,5193870.5
4.0,10.0,23.0,0.0,0.0,9111.9697265625,9057.451171875,16.0,57.0,21.6705265045166,18.92809295654297,23.137083053588867,23.22061538696289,100.0,76.50170135498047,51.304771423339844,51.04667663574219,1345.888671875,4845199.0
4.0,11.0,0.0,10455.6171875,0.0,4258.8203125,4232.2392578125,16.0,59.0,21.6281795501709,18.87071418762207,23.372663497924805,23.434541702270508,100.0,74.68714904785156,48.37384033203125,48.19341278076172,1424.39306640625,5127815.0
